filename,num_vars,num_clauses,avg_clause_length,var_counts_sum,solve_result,solve_runtime,clause_to_var_ratio,clause_density,max_clause_length,min_clause_length,clause_length_std,max_var_occurrences,min_var_occurrences,var_occurrence_std,var_density,avg_var_per_clause,literal_count,literal_to_clause_ratio
a811388cc92def6ef2d639dc062d456c-ContextModel_output_6_3_8.bul_.dimacs.cnf,9000,46780,2.763916203505772,129296,SAT,423.5576503276825,5.197777777777778,0.3618054696200965,17,1,0.9130273084642614,68,4,20.764935539283872,14.366222222222222,2.763916203505772,129296,2.763916203505772
024af9416f8c1dad1b4f974757e38d51-8-5-6.cnf,74124,1752053,2.881955625771595,5049339,SAT,1632.2948052883148,23.63678430737683,0.3469866055735216,34,1,0.6455184360309025,3692,1,226.17652926021077,68.1201635097944,2.881955625771595,5049339,2.881955625771595
953fb7afc63c1aef44c87bb19a434f6e-hcp_d16_16.cnf,70675,108411,3.537676066081856,383523,TIMEOUT,1800.0202612876892,1.533937035726919,0.2826714434336402,8,1,0.71433173387039,80,0,18.24262829332881,5.426572338167669,3.5376760660818554,383523,3.5376760660818554
dc3854d1f6db34fa97596ac30204627c-ktf_TF-1.tf_3_0.02_34.cnf,43133,192972,2.7695935161577845,534454,TIMEOUT,1800.0179171562197,4.473883105742702,0.3610638146594468,3,1,0.4221868658072401,90,1,12.118195162697145,12.390837641712842,2.7695935161577845,534454,2.7695935161577845
51925dbfcd5534b312265098fd439b12-bvsdiv_19.smt2.cnf,54460,141324,2.446463445699244,345744,UNSAT,591.9994373321533,2.595005508630188,0.4087532972372622,3,1,0.4974812904041436,156,1,2.980042691981402,6.348586118251928,2.446463445699244,345744,2.446463445699244
49f5d904bb2e762219287d33f5621971-ITC2021_Late_1.xml.cnf,70149,214518,2.4092337239765427,516824,SAT,15.427060842514038,3.0580336141641364,0.4150697336037026,30,1,1.6926257448716,54,0,7.62888331709819,7.367517712298108,2.4092337239765427,516824,2.4092337239765427
ddf6fff9ebbbe9ec2a02f70b3316db6d-QuasiGroup-4-12_c18.cnf,5244,124413,6.342107801372836,789047,SAT,15.576051712036133,23.72482837528604,0.1576750180914445,12,1,3.170020090872118,551,0,206.95905344216075,150.46662852784135,6.342158777619702,789047,6.342158777619702
28857e681fc6a9077d5a7d0e9c7a19ad-hash_table_find_safety_size_14.cnf,7112640,32850162,2.915492319337725,95774395,UNSAT,115.876939535141,4.618561040626266,0.3429952441881778,3125,1,2.4349774367290724,105950,0,105.5454493667944,13.465379240338327,2.915492319337725,95774395,2.915492319337725
3d449de3d6e722c9ce4a38ec748ee3cf-sudoku-N30-10.cnf,842089,2262758,2.634666632490085,5961613,TIMEOUT,1800.0459825992584,2.6870770191749327,0.3795546607939831,577,1,2.538694957861231,2882,3,24.001635925471103,7.079552161351116,2.634666632490085,5961613,2.634666632490085
9a67aa3b5e03053c276621cb6bf08cb5-course0.2_2018_3.cnf,1314940,2648157,2.318719773789847,6140334,SAT,356.0591149330139,2.013899493513012,0.431272468240327,1580,1,1.7413860123139755,7384,0,23.419792942611117,4.669668578033979,2.318719773789847,6140334,2.318719773789847
bd3da5b7e84eded4d478fcb681dc640b-bibd-16-80-15-3-2_glb.cnf,189392,2286096,3.313287231469181,7574496,SAT,4.846341848373413,12.070710484075358,0.3018149326371022,79,2,4.917104747696634,471,8,99.61266776922038,39.99374841598378,3.313288680790308,7574496,3.313288680790308
a0585897e79756b9624673592d13ee06-spg_200_317.cnf,502433,2614907,3.429346435647616,8967422,UNSAT,136.26046657562256,5.20448895673652,0.2916007521448193,6,2,0.9845031488892808,67,6,8.444449183149478,17.847995653151763,3.429346435647616,8967422,3.429346435647616
228b368e2e8a292ce787df9b4302de41-rbsat-v2400c266431g5-sc2009.cnf,2400,266431,2.00844496323626,535112,TIMEOUT,1800.0178792476654,111.01291666666668,0.4978976363826638,32,2,0.5032669070061166,337,139,32.04329605740056,222.96333333333337,2.00844496323626,535112,2.00844496323626
796f0662f0c7b23a00dec660d6622806-ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,95816,313805,2.415783687321744,758085,TIMEOUT,1800.019368171692,3.275079318694164,0.4139443466102086,8,1,0.6508941368926167,51,1,8.184175691223219,7.912048343665853,2.415783687321744,758085,2.415783687321744
